,,,T-1V12W547848A BOM,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Item #,*Designator,*Qty,Manufacturer,*Mfg Part #,Description / Value,*Package/Footprint ,Type,Your Instructions / Notes
1,"IR, 
IR, 
IR, 
IR from above",4,"Würth Elektronik, from digikey",691213510002    ,2 Pin 5.08 screw terminal,,Thru Hole,Arrange the component so the screw terminals face the outer edge of the board
2,"Fans, 
Fans, 
Fans, 
Fans, 
Fans from above",5,"Würth Elektronik, from digikey",61300411121,4 Pin 5.08 screw terminal,,Thru Hole,Arrange the component so the screw terminals face the outer edge of the board
